calificacion,comentarios
6,"Solo califica, sin comentarios "
8,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
,Sin contacto del cliente 
,Sin contacto del cliente 
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
10,Excelente muchas gracias 
,Se envia whatsapp
10,"Solo califica, sin comentarios "
8,Para empezar aún no tengo los archivos de la factura del servicio
8,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
6,reportó la guantera rota 
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
8 y 10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
8,"Por qué cuando he llevado el vehículo no me dicen bien que es y exageran los precios e incluso los problemas que se presentan, además de que no dan facilidades para ingreso y egreso de los servicios"
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
8,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
8,"Muy buenas tardes. El motivo es muy sencillo, por favor pregúntele al Jefe de Servicio los porqués? El ya envío un correo electrónico solicitando apoyo para resolver dos pendientes de la Captiva que llevamos a Servicio. Es importante señalar que soy su cliente desde hace más de 10 años. Mi esposa con sus dos AVEOS 2014 Y 2022. Mi hijo con su CAPTIVA 2023. Seguimos en contacto."
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Flotilla
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envía whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
6,"nada probable que recomiende la agencia, ni el vehículo"
,Sin contacto del cliente 
,Sin contacto del cliente 
8,Aún está en el distribuidor 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Se envia whatsapp
10,Todo muy bien 
8,La atención en general es buena pero hay puntos que fallan y empañan todo lo demás
8,No le quisieron hacer el servicio que solicitó y solicitó su  factura y no le contestan enviarla al correo diazl@gta-mex.com
,
10,todo estuvo perfecto 
,Se envia whatsapp
,Manda a buzón 
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
,Se envia whatsapp
8,"Solo califica, sin comentarios "
,Se envia whatsapp
10,sensor diagnóstico de suspención fu muy tardado solo califica a la asesora 
6,La unidad sigue en reparación 
8,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
8,"Es un pequeño detalle, que por aplicación me informaron que mi coche ya estaba listo y fui a la agencia y al llegar me dicen que aún no está, . que no está sincronizada la aplicación con la realidad del servicio. en todo caso por favor sincronicen el informe para que no vaya uno en vano"
,Se envia whatsapp
10,"Solo califica, sin comentarios "
6,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
6,"Solo califica, sin comentarios "
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
8,"Solo califica, sin comentarios "
8,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
8,"Seria muy probablemente porque sus precios son altos, y tardados"
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
8,Actitud  con  su personal y sus asesores
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
,Se envia whatsapp
8,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
8,numero que califica es equivocado 
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
8,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envía whatsapp
6,hizo falta cambio que traía en el porta vasos 
,Manda a buzón 
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
8,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Sin contacto del cliente 
6,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
6,Tiempo de espera.Atención al cliente Consultor no proporciona información Servicio de entrega carro sucio cuando se paga lavado premium
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
8,No dije que no lo haría.
,Sin contacto del cliente 
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Se envia whatsapp
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
10,"Solo califica, sin comentarios "
,Se envia whatsapp
8,"Solo califica, sin comentarios "
,Sin contacto del cliente 
,Se envia whatsapp
,Sin contacto del cliente 
,Se envia whatsapp
,No contesta 
10,"Solo califica, sin comentarios "
,Sin contacto del cliente 
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
8,"Solo califica, sin comentarios "
8,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,La llamada no puede ser completada como se marcó 
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
6,"Solo califica, sin comentarios "
8,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
8,"Solo califica, sin comentarios "
6,0 no lo recomendaría
,Se envia whatsapp
6,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
6,"Porque su servicio es muy malo, mi coche estuvo más de tres meses y el seguimiento fue pésimo"
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
,Se envia whatsapp
6,"No cumplen con las fechas  de entrega, no hay seguimiento de las reparaciones de los asesores, me dejaron mal mi vehículo y todavía me cobraron por arreglar lo que no repararon, en general muy mala experiencia"
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,No contesta 
,No contesta 
,Se envia whatsapp
6,"Solo califica, sin comentarios "
8,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Sin contacto del cliene 
,Sin contacto del cliene 
,Sin contacto del cliene 
,Sin contacto del cliene 
,Sin contacto del cliene 
,Sin contacto del cliene 
,Sin contacto del cliene 
,Sin contacto del cliene 
,Se envia whatsapp
,Sin contacto del cliente 
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
8,"Solo califica, sin comentarios "
,Se envia whatsapp
10,"Todo el personal tiene 10 de calificación, están comprometidos con la satisfacción del cliente. Felicidades"
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Sin contacto del cliente 
,Se envia whatsapp
6,Mala atencion en el depto. De recepcionista de servicio
10,"Solo califica, sin comentarios "
,Se envia whatsapp
10,"Fui atendido por Eduardo como asesor, me mantuvieron enterado en todo momento de mi unidad. Me hizo saber de las posibles reparaciones adicionales que reportaban enterado la revisión de los 25 puntos de seguridad. Me aviso muy oportunamente cuando estaba listo mi vehículo para poder acudir a recogerlo. Me explico los trabajos realizados y me hizo entrega satisfactoria. Gracias Eduardo 👍🏻"
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
6,mi camioneta prresenta una falla y 2 veces la he llevado a Garantia y no se resuleve le problema
,Se envia whatsapp
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Se envia whatsapp
,Se envia whatsapp
,Sin contacto del cliente 
,Sin contacto del cliente 
,Se envia whatsapp
,Sin contacto del cliente 
,Se envia whatsapp
,Sin contacto del cliente 
,Se envia whatsapp
,Sin contacto del cliente 
,Sin contacto del cliente 
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Sin contacto del cliente 
,Se envia whatsapp
6,La unidad no estaba lavada 
10,
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,nuevos 
,nuevos
10,Eduardo caloca súper atento y quede muy satisfecha
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
8,Le entrengaron su unidad sucia 
,Se envia whatsapp
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Se envia whatsapp
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Numero equivocado 
,Se envia whatsapp
,Sin contacto del cliente 
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Sin contacto del cliente 
,Se envia whatsapp
,Sin contacto del cliente 
6,"Solo califica, sin comentarios "
,Se envia whatsapp
,Numero equivocado 
,Sin contacto del cliente 
,Se envia whatsapp
,Sin contacto del cliente 
,Se envia whatsapp
,Sin contacto del cliente 
,Se envia whatsapp
,Sin contacto del cliente 
,Se envia whatsapp
10,"Quiero felicitar a las personas que hicieron el diagnóstico a mi camioneta, pues fueron muy precisos y ahora mi camioneta está al 100."
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
6,"Puntualidad es los  tiempos de atención y de entrega, aclarar los horarios de recepción y entrada dejarlos bien claros a verificar que su cliente los entienda correctamente, verificar los trabajos realizados"
8 y 10 ,"Solo califica, sin comentarios "
6,Le entregaron en viernes su unidad y el sabado se le prendio el check 
,Se envia whatsapp
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
,Se envia whatsapp
8,"Solo califica, sin comentarios "
10,todo bien*
 , 
10,todo bien*
10,todo bien
10,todo muy bien
10,todo bien*
10,todo bien*
10,excelente servicio*
10,todo muy bien
10,todo muy bien
10,todo muy bien
 , 
 , 
10,"fue buena experiencia,excelente atencion"
10,todo muy bien / hyp
10,todo bien*
10,todo bien*
10,todo muy bien*
10,todo muy bien*
10,todo bien*
10,todo bien*
10,todo bien*
10,Todo bien
10,todo bien
10,Todo bien
9,Todo bien
10,Buen servicio
10,Todo excelente
10,Excelente servicio
8,"Bien por el momento,  solo dar citas concretas no estar reagendando"
10,Todo bien  con amabilidad
10,"Buena atención, excelente trato"
10,todo muy bien
 , 
6,Muy tardada la entrega.
10,todo bien*
10,todo bien*
10,todo bien*
9,Todo bien
10,Todo bien
10,excelente servicio*
10,Perfecto
10,Sin comentarios
10,Solo  tiempo de entrega
10,todo muy bien
10,todo bien
,todo muy bien
10,todo muy bien
 , 
 , 
 , 
 , 
10,todo bien*
9,todo muy bien
10,Todo bien *
10,"La atención por atención a clientes fue buena, por parte de mi asesor nunca tuve comunicación continua"
10,todo muy bien
10,La comunicación telefónica vía conmutador.
10,Todo bien
9,Tener más coordinación en las fechas citas
10,todo bien
9,todo bien
10,Todo bien
 , 
 , 
 , 
 , 
 , 
 , 
 , 
 , 
10,Todo igual
 , 
10,Todo bien
10,excelente servicio
10,La rapidez
10,todo estuvo bien
9,Tratar de incluir en el servicio la revisión de adicionales mencionados al ingreso de unidad
10,Atención
10,Siempre nos atienden bien
10,Trabajo realizado *
10,Todo bien
 , 
 , 
 , 
 , 
 , 
 , 
 , 
 , 
10,todo muy bien
9,Todo bien *
10,No brinda conentario
 , 
9,Atención más rápida
10,todo muy bien
10,todo bien
10,Excelente  atención
10,todo muy bien
10,Todo bien
10,"Todo bien, excelente"
10,Todo bien
10,"Todo muy bien ,el trato y atención"
4,"Falta de orientación hacia el mantenimiento requerido,así como pérdida de tiempo ya que no le realizaron lo solicitado sobre los inyectores"
10,todo bien
10,Todo bien *
 , 
 , 
0,no quiso responder encuesta
10,todo bien*
10,todo bien*
0,"Todo hay que cambiar hasta el gerente, falta de comunicación e nformacion"
7,SIN COMENTARIOS
10,todo muy bien*
10,todo muy bien
9,Hacer valida la garantía cuando es necesaria
10,Todo muy bien
10,Todo bien *
10,todo bien
9,todo bien*
10,NINGUNO
10,todo bien*
 , 
 , 
4,no quiso responder encuesta
9,todo muy bien
10,Todo muy bien todo cordial el servicio
9,todo bien por el momento
10,todo muy bien
 , 
9,todo bien
10,Todo bien
10,Todo bien
10,Todo bien
10,todo muy bien
 , 
10,Todo mu bien
 , 
10,todo bien
10,Todo bien *
9,Deben entregar las unidades más rapido
10,Todo bien
10,En general estuvo bien la visita
 , 
10,Puntualidad y buena atención
8,Ninguno
8,Buena atención
10,todo muy bien
10,Satisfactrio
10,Todo bien
10,todo muy bien
10,todo muy bien
4,no quiso responder encuesta
10,buen servicio
9,Todo muy bien
10,Todo ok
10,Ninguna
10,Todo bien
10,Excelente atención
10,todo muy bien
10,todo muy bien
 , 
 , 
10,todo bien*
10,Trabajo realizado
9,Sería bueno que la comunión el cliente fuera más directa para aclarar duda
10,Muy rápido la atención y amables
10,Todo bien
10,Muy buena atención y servicio
10,Todo bien
 , 
 , 
9,Sin comentarios
10,todo bien
 , 
10,Todo bien
10,El asesor siempre me atiende de maravilla
10,Muy buena atención y asesoria
10,Todo bien
10,"Todo bien,solo la disponibilidad de citas"
9,Todo bien
10,todo bien
10,Todo bien
10,Todo bien
10,La atención es excelente
10,Todo bien
10,Trabajo realizado a la perfección
10,todo bien*
10,nada
10,todo muy bien
 , 
10,Todo bien
4,no quiso responder encuesta
1,Sin comentarios
10,todo bien*
 , 
10,todo bien*
10,todo bien*
10,todo bien
10,todo bien*
10,excelente servicio
10,excelente servicio
10,todo bien*
10,todo muy bien
9,La amabilidad y calidad en el servicio
9,nada
10,excelente servicio
10,Él excelente servicio y atención
10,Muy bien
10,todo bien
10,todo muy bien*
10,todo muy bien*
10,todo bien*
10,Todo bien
9,todo bien*
7,no quiso contestar encuesta
 , 
10,todo bien*
10,todo bien*
10,Todo fue en tiempo y forma
9,todo bien*
 , 
10,todo muy bien
10,todo bien*
9,NINGUNO
 , 
 , 
10,Recomendacion al personal excelente.
 , 
 , 
9,todo bien
10,Todo super bien
10,SERVICIO DE EXCELENCIA
10,Trabajo realizado *
10,Todo bien
10,Todo bien
10,Todo bien
9,Tiempo de entrega
10,Todo muy  bien
10,Todo bien
10,Todo bien
10,"Ni ganas,todo esta en orden"
10,todo bien*
10,todo bien*
10,todo bien*
10,todo bien*
 , 
10,todo bien
 , 
10,Buena la atención y felicidades por el servicio
 , 
 , 
10,Todo muy bien buena atención
10,todo bien*
10,todo bien*
10,Todo bien
9,Sin comentarios
10,checar la aplicacion donde informan que la unidad ya esta lista cuando aun no esta terminada en servicio
 , 
10,todo muy bien*
10,todo muy bien
10,Todo bien
9,Todo bien
10,Todo bien
10,Todo muy bien
10,Excelente
9,Que desde un principio desglozemos la información sobre el servicio
10,Refacciones
 , 
10,Excelente todo
10,Excelente atención
8,Son muy altos los costos
10,Todo estuvo excelente
10,Todo bien
10,Todo bien
 , 
9,Ser puntuales en recepción de unidad
10,Los servicios son rápidos y de calidad
4,Entiendo de entreg
8,"El servicio está bien ,los costos muy caros"
10,Todo bien
10,Todo muy bien
10,Bien *
10,El lavado le falta
8,muy buena
10,todo muy bien*
10,Ser más puntuales
10,todo bien*
10,ninguno
5,No le gusto el servicio
10,Muy atento el asesor Fernando
10,Son amables y siempre me han tratado bien
10,Excelente
10,Ninguna
10,excelente servicio*
8,Tener más atención con el cliente al recibir unidad  y brindar información del servicio
10,todo muy bien
10,Todo bien *
10,Todo bien
10,Todo excelente solo mejorar tiempos de entrega
10,Todo bien
10,Ninguno
8,Esta vez estuvo bien
 , 
10,Asi de rápidos
9,todo bien*
 , 
10,Todo bien *
9,todo bien*
 , 
10,todo bien*
10,todo bien*
10,Siempre me han atendido muy bien
10,todo muy bien*
10,Todo bien
 , 
 , 
10,todo bien*
8,Tiempos de entrega
10,Todo bien
10,Todo bien *
10,Todo bien msolo llamar a tiempo para los servicios
10,Excelente atención
10,El servicio es puntual y amable
10, 
1,Unudadmingresa con daños desde servicios pasados y no detectaron nada ahora que se termina garantía le encuentran la falla
10,todo bien*
10,todo bien*
10,Todo bien
10,todo bien*
10,Muy buena atención
6,"mi asesor no me dio seguimiento ni me informo de cuando estaría lista mi unidad, a la entrega esta muy sucia y pague lavado premium."
10,todo bien*
10,todo bien*
10,Ninguna
9,Todo bien *
8,Los procesos en tema de refacciones tardan mucho
10,Todo bien *
10,Bien *
10,Excelente
 , 
 , 
10,Puntualidad y el tratovon los clientes
 , 
10,excelente servicio*
10,Todo bien
 , 
10,Todo bien
10,Todo bien
8,"la atencion de quien me entrego la unidad estuvo bien, pero deberían tener una planta cuando no tengan luz,espere mucho tiempo para mi entrega y la limpieza no estuvo muy bien"
10,Todo muy bien *
 , 
 , 
 , 
 , 
10,Muy buen servicio siempre nos dan
 , 
 , 
 , 
 , 
 , 
 , 
 , 
10,Buen servicios *
10,Hasta el momento  todo está bien
8,.
 , 
10,Todo bien *
 , 
10,todo bien*
10,Todo muy bien
10,Buen servicio
 , 
 , 
10,Atención a clientes
10,Todo bien
9,Todo bien
10,Todo bien
10,todo bien*
 , 
10,Todo bien *
10,No poner tantas trabas cuando llamamos para pedir con el asesor
10,Todo bien
10,Los precio accesibles
10,Muy buen servicio siempre  nos dan
 , 
10,todo bien*
10,Todo bien *
10,Todo muy bien
 , 
10,Muy buena atención
10,todo bien*
9,Todo bien *
 , 
9,Ninguno
10,Todo bien
10,Siempre excelente
10,Buen trato al cliente
10,Todo está bien
9,No estuvo mi asesor y me atendió otra persona y no me dio horario de entrega
9,Volver a realizar los servicios más rápidos
8,Todo bien
9,Todo está muy bien
10,Muy bien
10,Ojalá los tiempos fueran más ágiles son buenos  pero en el sentido servicio so es rápido
10,Todo bien con el servicio
8,Tiempos de entrega
10,Todo bien
10,Todo bien *
10,Mantener el buen servicio
 , 
10,Todo bien
10,Todo bien
9,Sin comentarios
10,El buen trato a los clientes
10,Mantener la buena atención al cliente
10,Todo bien
10,Excelente servicio por parte del personal
10,Buen servicio y atención
10,Excelente atención
9,Sin comentarios
 , 
6,La atención muy buena
 , 
10,Todo correcto en la entrega
10,Todo bien
10,Mantener los buenos servicios realizados al coche
10,Muy buen servicio
10,Todo excelente
10,Muy satisfecho con su servicio
10,Nada todo está perfectamente
9,Todo bien
 , 
